,Year,Movie,Review
63,2004,The Incredibles,https://www.theguardian.com/film/2004/nov/19/the-incredibles-film-review
64,2018,Happy as Lazzaro,https://www.theguardian.com/film/2019/apr/03/happy-as-lazzaro-review-alice-rohrwacher-adriano-tardiolo-nicoletta-braschi
65,005),Brokeback Mountain ,https://www.theguardian.com/film/2006/jan/06/3
66,2009,Dogtooth,https://www.theguardian.com/film/2010/apr/22/dogtooth-review
67,2014,Mr Turner,https://www.theguardian.com/film/2014/oct/30/mr-turner-review-mike-leigh-timothy-spall
68,2017,Paddington 2,https://www.theguardian.com/film/2017/oct/26/paddington-2-review-hugh-grant-sequel-michael-bond-film
69,2004,Anchorman: The Legend of Ron Burgundy,"https://www.theguardian.com/film/News_Story/Critic_Review/Guardian_review/0,,1300914,00.html"
70,h2>,Capernaum (2018),https://www.theguardian.com/film/2018/may/18/capernaum-review-cannes-film-festival
71,2008,Waltz With Bashir,https://www.theguardian.com/film/2008/nov/21/waltz-with-bashir-folman
72,2016,Love & Friendship,https://www.theguardian.com/film/2016/may/26/love-friendship-review-whit-stillmans-austen-drama-is-a-racy-delight
73,2009,A Prophet,https://www.theguardian.com/film/2010/jan/24/a-prophet-review
74,2013,Philomena,https://www.theguardian.com/film/2013/oct/31/philomena-review
75,002),Ten ,https://www.theguardian.com/culture/2002/sep/27/artsfeatures
76,2003,Lost in Translation,"https://www.theguardian.com/film/News_Story/Critic_Review/Guardian_Film_of_the_week/0,,1118548,00.htm"
77,2001,Ocean’s Eleven,"https://www.theguardian.com/film/News_Story/Critic_Review/Observer_review/0,4267,651378,00.html"
78,007),Persepolis ,https://www.theguardian.com/film/2008/apr/25/animation.drama
79,2000,Requiem for a Dream,"https://www.theguardian.com/film/News_Story/Critic_Review/Observer_review/0,,425900,00.html"
80,2009,Fish Tank,https://www.theguardian.com/film/2009/sep/10/fish-tank-review
81,2012,Stories We Tell,https://www.theguardian.com/film/2013/jun/27/stories-we-tell-review
82,2001,The Son’s Room,https://www.theguardian.com/film/2002/feb/15/1
83,2005,Tropical Malady,https://www.theguardian.com/theguardian/2005/mar/04/apichatpong-weerasethakul
84,2018,Burning,https://www.theguardian.com/film/2018/may/17/burning-review-cannes-2018-lee-chang-dong
85,2007,No Country for Old Men,https://www.theguardian.com/film/2008/jan/18/drama.thriller
86,2006,The Wind that Shakes the Barley,https://www.theguardian.com/culture/2006/jun/23/3
87,2008,Gomorrah,https://www.theguardian.com/film/2008/oct/10/crime
88,2013,The Selfish Giant,https://www.theguardian.com/film/2013/oct/24/the-selfish-giant-review
89,2014,Eden,https://www.theguardian.com/film/2015/jul/23/eden-review-the-perfect-mix-of-music-and-melancholia
90,2002,Etre et Avoir,https://www.theguardian.com/culture/2003/jun/20/artsfeatures4
91,2008,The Hurt Locker,https://www.theguardian.com/film/2009/aug/30/hurt-locker-film-philip-french
92,2007,"You, the Living",https://www.theguardian.com/film/2008/mar/28/worldcinema.comedy
93,2000,Gladiator,https://www.theguardian.com/film/2000/may/12/3
94,2017,Call Me By Your Name,https://www.theguardian.com/film/2017/oct/26/call-me-by-your-name-review-luca-guadagnino-armie-hammer
95,2018,Private Life,https://www.theguardian.com/film/2018/oct/05/private-life-review-netflix-fertility-comedy-paul-giamatti
96,2004,Fahrenheit 9/11,https://www.theguardian.com/theguardian/2004/jul/09/1
97,2008,The Dark Knight,https://www.theguardian.com/film/2008/jul/25/actionandadventure1
98,2009,Bright Star,https://www.theguardian.com/film/2009/nov/05/bright-star-review
99,2019,Once Upon a Time in Hollywood,https://www.theguardian.com/film/2019/aug/18/once-upon-a-time-in-hollywood-review-quentin-tarantino-leonardo-dicaprio-brad-pitt
